"name","region","date","value","value_daily"
"cases","ON","2020-03-20","557","99"
"cases","ON","2020-03-21","629","72"
"cases","ON","2020-03-22","716","87"
"cases","ON","2020-03-23","861","145"
"cases","ON","2020-03-24","1035","174"
"cases","ON","2020-03-25","1173","138"
"cases","ON","2020-03-26","1423","250"
"cases","ON","2020-03-27","1720","297"
"cases","ON","2020-03-28","1956","236"
"cases","ON","2020-03-29","2183","227"
"cases","ON","2020-03-30","2621","438"
"cases","ON","2020-03-31","3032","411"
"cases","ON","2020-04-01","3486","454"
"cases","ON","2020-04-02","3936","450"
"cases","ON","2020-04-03","4401","465"
"cases","ON","2020-04-04","4750","349"
"cases","ON","2020-04-05","5121","371"
"cases","ON","2020-04-06","5600","479"
"cases","ON","2020-04-07","6058","458"
"cases","ON","2020-04-08","6551","493"
"cases","ON","2020-04-09","7040","489"
"cases","ON","2020-04-10","7439","399"
"cases","ON","2020-04-11","7915","476"
"cases","ON","2020-04-12","8465","550"
"cases","ON","2020-04-13","9064","599"
"cases","ON","2020-04-14","9622","558"
"cases","ON","2020-04-15","10241","619"
"cases","ON","2020-04-16","10820","579"
"cases","ON","2020-04-17","11572","752"
"cases","ON","2020-04-18","12172","600"
"cases","ON","2020-04-19","12766","594"
"cases","ON","2020-04-20","13380","614"
"cases","ON","2020-04-21","13902","522"
"cases","ON","2020-04-22","14450","548"
"cases","ON","2020-04-23","14961","511"
"cases","ON","2020-04-24","15393","432"
"cases","ON","2020-04-25","15820","427"
"cases","ON","2020-04-26","16187","367"
"cases","ON","2020-04-27","16667","480"
"cases","ON","2020-04-28","17084","417"
"cases","ON","2020-04-29","17490","406"
"cases","ON","2020-04-30","17899","409"
"cases","ON","2020-05-01","18387","488"
"cases","ON","2020-05-02","18720","333"
"cases","ON","2020-05-03","19061","341"
"cases","ON","2020-05-04","19395","334"
"cases","ON","2020-05-05","19804","409"
"cases","ON","2020-05-06","20160","356"
"cases","ON","2020-05-07","20466","306"
"cases","ON","2020-05-08","20764","298"
"cases","ON","2020-05-09","21074","310"
"cases","ON","2020-05-10","21368","294"
"cases","ON","2020-05-11","21584","216"
"cases","ON","2020-05-12","21842","258"
"cases","ON","2020-05-13","22204","362"
"cases","ON","2020-05-14","22546","342"
"cases","ON","2020-05-15","22928","382"
"cases","ON","2020-05-16","23298","370"
"cases","ON","2020-05-17","23719","421"
"cases","ON","2020-05-18","24095","376"
"cases","ON","2020-05-19","24424","329"
"cases","ON","2020-05-20","24812","388"
"cases","ON","2020-05-21","25150","338"
"cases","ON","2020-05-22","25550","400"
"cases","ON","2020-05-23","25917","367"
"cases","ON","2020-05-24","26257","340"
"cases","ON","2020-05-25","26656","399"
"cases","ON","2020-05-26","26929","273"
"cases","ON","2020-05-27","27251","322"
"cases","ON","2020-05-28","27576","325"
"cases","ON","2020-05-29","28182","606"
"cases","ON","2020-05-30","28528","346"
"cases","ON","2020-05-31","28940","412"
"cases","ON","2020-06-01","29336","396"
"cases","ON","2020-06-02","29702","366"
"cases","ON","2020-06-03","30050","348"
"cases","ON","2020-06-04","30329","279"
"cases","ON","2020-06-05","30607","278"
"cases","ON","2020-06-06","30829","222"
"cases","ON","2020-06-07","31036","207"
"cases","ON","2020-06-08","31250","214"
"cases","ON","2020-06-09","31466","216"
"cases","ON","2020-06-10","31703","237"
"cases","ON","2020-06-11","31890","187"
"cases","ON","2020-06-12","32130","240"
"cases","ON","2020-06-13","32301","171"
"cases","ON","2020-06-14","32445","144"
"cases","ON","2020-06-15","32623","178"
"cases","ON","2020-06-16","32796","173"
"cases","ON","2020-06-17","32986","190"
"cases","ON","2020-06-18","33184","198"
"cases","ON","2020-06-19","33373","189"
"cases","ON","2020-06-20","33527","154"
"cases","ON","2020-06-21","33701","174"
"cases","ON","2020-06-22","33904","203"
"cases","ON","2020-06-23","34056","152"
"cases","ON","2020-06-24","34220","164"
"cases","ON","2020-06-25","34366","146"
"cases","ON","2020-06-26","34548","182"
"cases","ON","2020-06-27","34778","230"
"cases","ON","2020-06-28","34983","205"
"cases","ON","2020-06-29","35114","131"
"cases","ON","2020-06-30","35290","176"
"cases","ON","2020-07-01","35440","150"
"cases","ON","2020-07-02","35582","142"
"cases","ON","2020-07-03","35734","152"
"cases","ON","2020-07-04","35863","129"
"cases","ON","2020-07-05","35955","92"
"cases","ON","2020-07-06","36060","105"
"cases","ON","2020-07-07","36199","139"
"cases","ON","2020-07-08","36341","142"
"cases","ON","2020-07-09","36477","136"
"cases","ON","2020-07-10","36601","124"
"cases","ON","2020-07-11","36729","128"
"cases","ON","2020-07-12","36842","113"
"cases","ON","2020-07-13","36940","98"
"cases","ON","2020-07-14","37045","105"
"cases","ON","2020-07-15","37178","133"
"cases","ON","2020-07-16","37320","142"
"cases","ON","2020-07-17","37485","165"
"cases","ON","2020-07-18","37660","175"
"cases","ON","2020-07-19","37782","122"
"cases","ON","2020-07-20","37960","178"
"cases","ON","2020-07-21","38078","118"
"cases","ON","2020-07-22","38202","124"
"cases","ON","2020-07-23","38397","195"
"cases","ON","2020-07-24","38536","139"
"cases","ON","2020-07-25","38654","118"
"cases","ON","2020-07-26","38779","125"
"cases","ON","2020-07-27","38901","122"
"cases","ON","2020-07-28","39023","122"
"cases","ON","2020-07-29","39123","100"
"cases","ON","2020-07-30","39232","109"
"cases","ON","2020-07-31","39359","127"
"cases","ON","2020-08-01","39462","103"
"cases","ON","2020-08-02","39519","57"
"cases","ON","2020-08-03","39616","97"
"cases","ON","2020-08-04","39703","87"
"cases","ON","2020-08-05","39784","81"
"cases","ON","2020-08-06","39881","97"
"cases","ON","2020-08-07","39961","80"
"cases","ON","2020-08-08","40053","92"
"cases","ON","2020-08-09","40143","90"
"cases","ON","2020-08-10","40212","69"
"cases","ON","2020-08-11","40300","88"
"cases","ON","2020-08-12","40396","96"
"cases","ON","2020-08-13","40486","90"
"cases","ON","2020-08-14","40577","91"
"cases","ON","2020-08-15","40663","86"
"cases","ON","2020-08-16","40763","100"
"cases","ON","2020-08-17","40862","99"
"cases","ON","2020-08-18","40966","104"
"cases","ON","2020-08-19","41069","103"
"cases","ON","2020-08-20","41177","108"
"cases","ON","2020-08-21","41310","133"
