"name","region","date","value","value_daily"
"cases","ON","2022-03-20",1152606,1289
"cases","ON","2022-03-21",1154106,1500
"cases","ON","2022-03-22",1156579,2473
"cases","ON","2022-03-23",1158961,2382
"cases","ON","2022-03-24",1161534,2573
"cases","ON","2022-03-25",1163972,2438
"cases","ON","2022-03-26",1165678,1706
"cases","ON","2022-03-27",1167336,1658
"cases","ON","2022-03-28",1169265,1929
"cases","ON","2022-03-29",1171951,2686
"cases","ON","2022-03-30",1175122,3171
"cases","ON","2022-03-31",1178083,2961
"cases","ON","2022-04-01",1181187,3104
"cases","ON","2022-04-02",1183737,2550
"cases","ON","2022-04-03",1185641,1904
"cases","ON","2022-04-04",1188236,2595
"cases","ON","2022-04-05",1192109,3873
"cases","ON","2022-04-06",1195784,3675
"cases","ON","2022-04-07",1199498,3714
"cases","ON","2022-04-08",1203220,3722
"cases","ON","2022-04-09",1206300,3080
"cases","ON","2022-04-10",1208363,2063
"cases","ON","2022-04-11",1211162,2799
"cases","ON","2022-04-12",1215390,4228
"cases","ON","2022-04-13",1219657,4267
"cases","ON","2022-04-14",1223802,4145
"cases","ON","2022-04-15",1227305,3503
"cases","ON","2022-04-16",1229407,2102
"cases","ON","2022-04-17",1231615,2208
"cases","ON","2022-04-18",1232748,1133
"cases","ON","2022-04-19",1236208,3460
"cases","ON","2022-04-20",1240887,4679
"cases","ON","2022-04-21",1244578,3691
"cases","ON","2022-04-22",1248710,4132
"cases","ON","2022-04-23",1251355,2645
"cases","ON","2022-04-24",1253095,1740
"cases","ON","2022-04-25",1255154,2059
"cases","ON","2022-04-26",1258770,3616
"cases","ON","2022-04-27",1261529,2759
"cases","ON","2022-04-28",1264290,2761
"cases","ON","2022-04-29",1266733,2443
"cases","ON","2022-04-30",1268523,1790
"cases","ON","2022-05-01",1269882,1359
"cases","ON","2022-05-02",1271791,1909
"cases","ON","2022-05-03",1274493,2702
"cases","ON","2022-05-04",1276711,2218
"cases","ON","2022-05-05",1279047,2336
"cases","ON","2022-05-06",1281075,2028
"cases","ON","2022-05-07",1282634,1559
"cases","ON","2022-05-08",1283651,1017
"cases","ON","2022-05-09",1285204,1553
"cases","ON","2022-05-10",1287271,2067
"cases","ON","2022-05-11",1289302,2031
"cases","ON","2022-05-12",1291112,1810
"cases","ON","2022-05-13",1292710,1598
"cases","ON","2022-05-14",1293963,1253
"cases","ON","2022-05-15",1294926,963
"cases","ON","2022-05-16",1296163,1237
"cases","ON","2022-05-17",1297807,1644
"cases","ON","2022-05-18",1299203,1396
"cases","ON","2022-05-19",1300553,1350
